"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty51013","Arlington County, VA",37378
"cty22075","Plaquemines Parish, LA",37372
"cty21073","Franklin County, KY",37347
"cty12109","St. Johns County, FL",37344
"cty22101","St. Mary Parish, LA",37340
"cty26107","Mecosta County, MI",37334
"cty33011","Hillsborough County, NH",37314
"cty51149","Prince George County, VA",37308
"cty17019","Champaign County, IL",37291
"cty32013","Humboldt County, NV",37283
"cty48057","Calhoun County, TX",37251
"cty55133","Waukesha County, WI",37219
"cty41061","Union County, OR",37199
"cty17097","Lake County, IL",37193
"cty20091","Johnson County, KS",37187
"cty22099","St. Martin Parish, LA",37145
"cty48367","Parker County, TX",37114
"cty54037","Jefferson County, WV",37105
"cty13059","Clarke County, GA",37085
"cty27085","McLeod County, MN",37082
"cty09005","Litchfield County, CT",37064
"cty48287","Lee County, TX",37045
"cty47053","Gibson County, TN",37037
"cty48041","Brazos County, TX",37030
"cty48167","Galveston County, TX",37028
"cty36103","Suffolk County, NY",37002
"cty10003","New Castle County, DE",36988
"cty17103","Lee County, IL",36979
"cty18023","Clinton County, IN",36977
"cty42007","Beaver County, PA",36941
"cty37183","Wake County, NC",36927
"cty01055","Etowah County, AL",36915
"cty32001","Churchill County, NV",36910
"cty17143","Peoria County, IL",36904
"cty44009","Washington County, RI",36894
"cty26029","Charlevoix County, MI",36894
"cty17011","Bureau County, IL",36893
"cty51087","Henrico County, VA",36888
"cty48397","Rockwall County, TX",36867
"cty39055","Geauga County, OH",36855
"cty27003","Anoka County, MN",36853
"cty22119","Webster Parish, LA",36826
"cty51775","Salem city, VA",36819
"cty31111","Lincoln County, NE",36809
"cty26037","Clinton County, MI",36806
"cty09001","Fairfield County, CT",36785
"cty19099","Jasper County, IA",36744
"cty39153","Summit County, OH",36742
"cty02090","Fairbanks North Star Borough, AK",36731
"cty37135","Orange County, NC",36690
"cty34005","Burlington County, NJ",36680
"cty39151","Stark County, OH",36671
