"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty12117","Seminole County, FL",31419
"cty06101","Sutter County, CA",31407
"cty05035","Crittenden County, AR",31370
"cty55009","Brown County, WI",31348
"cty12086","Miami-Dade County, FL",31327
"cty53065","Stevens County, WA",31312
"cty12087","Monroe County, FL",31299
"cty54069","Ohio County, WV",31285
"cty48487","Wilbarger County, TX",31276
"cty42101","Philadelphia County, PA",31267
"cty13089","DeKalb County, GA",31264
"cty05069","Jefferson County, AR",31255
"cty41043","Linn County, OR",31254
"cty06077","San Joaquin County, CA",31252
"cty53053","Pierce County, WA",31222
"cty26155","Shiawassee County, MI",31204
"cty42013","Blair County, PA",31192
"cty55039","Fond du Lac County, WI",31190
"cty55109","St. Croix County, WI",31188
"cty36099","Seneca County, NY",31186
"cty48183","Gregg County, TX",31183
"cty44005","Newport County, RI",31176
"cty26089","Leelanau County, MI",31156
"cty45063","Lexington County, SC",31154
"cty35009","Curry County, NM",31154
"cty37157","Rockingham County, NC",31142
"cty02220","Sitka City and Borough, AK",31141
"cty21015","Boone County, KY",31136
"cty42089","Monroe County, PA",31125
"cty37179","Union County, NC",31117
"cty18019","Clark County, IN",31099
"cty09015","Windham County, CT",31084
"cty24011","Caroline County, MD",31082
"cty49021","Iron County, UT",31069
"cty27067","Kandiyohi County, MN",31057
"cty12069","Lake County, FL",31056
"cty41051","Multnomah County, OR",31048
"cty28067","Jones County, MS",31022
"cty37001","Alamance County, NC",31002
"cty17081","Jefferson County, IL",30997
"cty33009","Grafton County, NH",30975
"cty08085","Montrose County, CO",30974
"cty48467","Van Zandt County, TX",30973
"cty27035","Crow Wing County, MN",30954
"cty55033","Dunn County, WI",30953
"cty48341","Moore County, TX",30949
"cty40145","Wagoner County, OK",30948
"cty19101","Jefferson County, IA",30944
"cty27145","Stearns County, MN",30941
"cty05133","Sevier County, AR",30938
"cty42043","Dauphin County, PA",30936
"cty21145","McCracken County, KY",30919
"cty28121","Rankin County, MS",30914
"cty12103","Pinellas County, FL",30913
"cty48113","Dallas County, TX",30905
"cty48209","Hays County, TX",30896
"cty18167","Vigo County, IN",30893
"cty19123","Mahaska County, IA",30886
"cty01097","Mobile County, AL",30871
"cty08083","Montezuma County, CO",30846
"cty49003","Box Elder County, UT",30825
"cty26151","Sanilac County, MI",30824
"cty45019","Charleston County, SC",30807
"cty12011","Broward County, FL",30799
"cty55105","Rock County, WI",30783
"cty17163","St. Clair County, IL",30783
"cty46099","Minnehaha County, SD",30765
"cty17179","Tazewell County, IL",30762
"cty25013","Hampden County, MA",30756
"cty39089","Licking County, OH",30737
"cty17075","Iroquois County, IL",30721
"cty08071","Las Animas County, CO",30720
"cty55071","Manitowoc County, WI",30716
"cty19193","Woodbury County, IA",30705
"cty04013","Maricopa County, AZ",30704
"cty10005","Sussex County, DE",30696
"cty42085","Mercer County, PA",30689
"cty01031","Coffee County, AL",30685
"cty55079","Milwaukee County, WI",30677
"cty18173","Warrick County, IN",30676
"cty01071","Jackson County, AL",30667
"cty12075","Levy County, FL",30666
"cty06089","Shasta County, CA",30649
"cty42061","Huntingdon County, PA",30637
"cty45015","Berkeley County, SC",30636
"cty55117","Sheboygan County, WI",30633
"cty32019","Lyon County, NV",30630
"cty41035","Klamath County, OR",30628
"cty12099","Palm Beach County, FL",30623
"cty20175","Seward County, KS",30615
"cty13145","Harris County, GA",30609
"cty48277","Lamar County, TX",30596
"cty37129","New Hanover County, NC",30595
"cty24510","Baltimore city, MD",30588
"cty08001","Adams County, CO",30582
"cty42119","Union County, PA",30569
"cty36009","Cattaraugus County, NY",30532
"cty35047","San Miguel County, NM",30532
"cty13047","Catoosa County, GA",30518
"cty22073","Ouachita Parish, LA",30504
"cty01083","Limestone County, AL",30494
"cty48117","Deaf Smith County, TX",30491
"cty12015","Charlotte County, FL",30488
"cty35015","Eddy County, NM",30486
"cty54003","Berkeley County, WV",30465
"cty05071","Johnson County, AR",30446
"cty29077","Greene County, MO",30438
"cty06053","Monterey County, CA",30407
"cty46013","Brown County, SD",30403
"cty40031","Comanche County, OK",30398
"cty37085","Harnett County, NC",30397
"cty51047","Culpeper County, VA",30376
"cty47155","Sevier County, TN",30366
"cty45003","Aiken County, SC",30358
"cty27147","Steele County, MN",30354
"cty19011","Benton County, IA",30344
"cty51650","Hampton city, VA",30343
"cty48373","Polk County, TX",30340
"cty53015","Cowlitz County, WA",30334
"cty26059","Hillsdale County, MI",30334
"cty12115","Sarasota County, FL",30312
"cty22063","Livingston Parish, LA",30312
"cty06071","San Bernardino County, CA",30297
"cty30111","Yellowstone County, MT",30296
"cty40109","Oklahoma County, OK",30289
"cty51187","Warren County, VA",30282
"cty22055","Lafayette Parish, LA",30278
"cty13245","Richmond County, GA",30278
"cty27095","Mille Lacs County, MN",30275
"cty13185","Lowndes County, GA",30269
"cty20173","Sedgwick County, KS",30258
"cty23003","Aroostook County, ME",30251
"cty34009","Cape May County, NJ",30242
"cty23019","Penobscot County, ME",30197
"cty37061","Duplin County, NC",30172
"cty37111","McDowell County, NC",30143
"cty41071","Yamhill County, OR",30138
"cty18073","Jasper County, IN",30138
"cty51093","Isle of Wight County, VA",30131
"cty12009","Brevard County, FL",30129
"cty40047","Garfield County, OK",30116
"cty48259","Kendall County, TX",30115
"cty21029","Bullitt County, KY",30108
"cty30081","Ravalli County, MT",30097
"cty22105","Tangipahoa Parish, LA",30087
"cty42073","Lawrence County, PA",30077
"cty40083","Logan County, OK",30068
"cty53017","Douglas County, WA",30060
"cty06087","Santa Cruz County, CA",30054
"cty37195","Wilson County, NC",30051
"cty24043","Washington County, MD",30034
"cty48127","Dimmit County, TX",30033
"cty20055","Finney County, KS",30030
"cty48389","Reeves County, TX",30026
"cty08119","Teller County, CO",30017
"cty17121","Marion County, IL",30013
"cty53041","Lewis County, WA",30009
"cty48323","Maverick County, TX",30008
"cty19171","Tama County, IA",30001
"cty33001","Belknap County, NH",29999
"cty39023","Clark County, OH",29989
"cty51740","Portsmouth city, VA",29985
"cty12023","Columbia County, FL",29979
"cty31037","Colfax County, NE",29977
"cty34033","Salem County, NJ",29975
"cty40147","Washington County, OK",29961
"cty42071","Lancaster County, PA",29961
"cty32003","Clark County, NV",29951
"cty37153","Richmond County, NC",29899
"cty48401","Rusk County, TX",29876
"cty36069","Ontario County, NY",29866
"cty41041","Lincoln County, OR",29862
"cty48133","Eastland County, TX",29855
"cty47037","Davidson County, TN",29854
"cty36005","Bronx County, NY",29837
"cty27079","Le Sueur County, MN",29834
"cty31153","Sarpy County, NE",29833
"cty06093","Siskiyou County, CA",29829
"cty16039","Elmore County, ID",29828
"cty13213","Murray County, GA",29822
"cty48163","Frio County, TX",29802
"cty12057","Hillsborough County, FL",29782
"cty26017","Bay County, MI",29780
"cty01069","Houston County, AL",29779
"cty35005","Chaves County, NM",29776
"cty06099","Stanislaus County, CA",29761
"cty39169","Wayne County, OH",29742
"cty45057","Lancaster County, SC",29718
"cty42109","Snyder County, PA",29710
"cty41039","Lane County, OR",29707
"cty55095","Polk County, WI",29703
"cty49011","Davis County, UT",29687
"cty55135","Waupaca County, WI",29687
"cty29097","Jasper County, MO",29678
"cty50025","Windham County, VT",29676
"cty48147","Fannin County, TX",29674
"cty12113","Santa Rosa County, FL",29673
"cty47167","Tipton County, TN",29667
"cty15001","Hawaii County, HI",29665
"cty48355","Nueces County, TX",29619
"cty06035","Lassen County, CA",29615
"cty48053","Burnet County, TX",29609
"cty22115","Vernon Parish, LA",29605
"cty20177","Shawnee County, KS",29602
"cty47179","Washington County, TN",29602
"cty21151","Madison County, KY",29600
"cty08031","Denver County, CO",29595
"cty16011","Bingham County, ID",29591
"cty36057","Montgomery County, NY",29590
"cty06069","San Benito County, CA",29584
"cty30063","Missoula County, MT",29563
"cty47187","Williamson County, TN",29531
"cty48415","Scurry County, TX",29523
"cty48381","Randall County, TX",29521
"cty18059","Hancock County, IN",29518
"cty23025","Somerset County, ME",29511
"cty27111","Otter Tail County, MN",29502
"cty18095","Madison County, IN",29492
"cty55029","Door County, WI",29486
"cty06065","Riverside County, CA",29485
"cty28059","Jackson County, MS",29482
"cty53025","Grant County, WA",29458
"cty41019","Douglas County, OR",29448
"cty35001","Bernalillo County, NM",29427
"cty53021","Franklin County, WA",29423
"cty42065","Jefferson County, PA",29378
"cty45043","Georgetown County, SC",29374
"cty47149","Rutherford County, TN",29347
"cty08043","Fremont County, CO",29339
"cty13015","Bartow County, GA",29318
"cty54049","Marion County, WV",29307
"cty48027","Bell County, TX",29305
"cty16083","Twin Falls County, ID",29297
"cty16047","Gooding County, ID",29289
"cty39093","Lorain County, OH",29264
"cty30049","Lewis and Clark County, MT",29238
"cty13297","Walton County, GA",29232
"cty18087","LaGrange County, IN",29228
"cty27153","Todd County, MN",29223
"cty06047","Merced County, CA",29205
"cty48187","Guadalupe County, TX",29192
"cty40123","Pontotoc County, OK",29185
"cty35049","Santa Fe County, NM",29171
"cty47035","Cumberland County, TN",29170
"cty06029","Kern County, CA",29169
"cty50015","Lamoille County, VT",29150
"cty48061","Cameron County, TX",29148
"cty48451","Tom Green County, TX",29138
"cty13013","Barrow County, GA",29138
"cty13255","Spalding County, GA",29132
"cty12091","Okaloosa County, FL",29124
"cty36025","Delaware County, NY",29122
"cty48029","Bexar County, TX",29116
"cty48377","Presidio County, TX",29109
"cty54081","Raleigh County, WV",29097
"cty48469","Victoria County, TX",29094
"cty12111","St. Lucie County, FL",29092
"cty41047","Marion County, OR",29089
"cty49057","Weber County, UT",29062
"cty37071","Gaston County, NC",29053
"cty53063","Spokane County, WA",29051
"cty50019","Orleans County, VT",29032
"cty18149","Starke County, IN",29032
"cty48091","Comal County, TX",29032
"cty36003","Allegany County, NY",29031
"cty37003","Alexander County, NC",29030
"cty53001","Adams County, WA",28988
"cty35023","Hidalgo County, NM",28984
"cty48223","Hopkins County, TX",28968
"cty08041","El Paso County, CO",28967
"cty34001","Atlantic County, NJ",28961
"cty51085","Hanover County, VA",28954
"cty37151","Randolph County, NC",28949
"cty12035","Flagler County, FL",28927
"cty16001","Ada County, ID",28922
"cty48441","Taylor County, TX",28905
"cty37089","Henderson County, NC",28894
"cty20045","Douglas County, KS",28892
"cty13151","Henry County, GA",28875
"cty37045","Cleveland County, NC",28861
"cty29510","St. Louis city, MO",28842
"cty49053","Washington County, UT",28838
"cty06031","Kings County, CA",28837
"cty55137","Waushara County, WI",28823
"cty48445","Terry County, TX",28779
"cty12061","Indian River County, FL",28769
"cty55069","Lincoln County, WI",28768
"cty47163","Sullivan County, TN",28755
"cty06107","Tulare County, CA",28743
"cty05051","Garland County, AR",28735
"cty12081","Manatee County, FL",28730
"cty55015","Calumet County, WI",28717
"cty36031","Essex County, NY",28698
"cty41031","Jefferson County, OR",28683
"cty48055","Caldwell County, TX",28669
"cty29009","Barry County, MO",28666
"cty48215","Hidalgo County, TX",28658
"cty48213","Henderson County, TX",28655
"cty12021","Collier County, FL",28626
"cty42033","Clearfield County, PA",28622
"cty56021","Laramie County, WY",28606
"cty41029","Jackson County, OR",28600
"cty49005","Cache County, UT",28583
"cty29169","Pulaski County, MO",28580
"cty42035","Clinton County, PA",28569
"cty18067","Howard County, IN",28561
"cty05115","Pope County, AR",28559
"cty48309","McLennan County, TX",28557
"cty48013","Atascosa County, TX",28530
"cty30047","Lake County, MT",28522
"cty06009","Calaveras County, CA",28501
"cty53077","Yakima County, WA",28499
"cty29031","Cape Girardeau County, MO",28491
"cty28003","Alcorn County, MS",28487
"cty20155","Reno County, KS",28485
"cty45085","Sumter County, SC",28469
"cty34011","Cumberland County, NJ",28468
"cty13095","Dougherty County, GA",28467
"cty13157","Jackson County, GA",28465
"cty12071","Lee County, FL",28459
"cty13063","Clayton County, GA",28458
"cty51840","Winchester city, VA",28441
"cty53057","Skagit County, WA",28430
"cty12095","Orange County, FL",28430
"cty12105","Polk County, FL",28417
"cty05015","Carroll County, AR",28411
"cty48293","Limestone County, TX",28409
"cty40039","Custer County, OK",28386
"cty27165","Watonwan County, MN",28381
"cty48099","Coryell County, TX",28362
"cty37093","Hoke County, NC",28347
"cty48465","Val Verde County, TX",28347
"cty35027","Lincoln County, NM",28343
"cty20161","Riley County, KS",28329
"cty12101","Pasco County, FL",28321
"cty12033","Escambia County, FL",28321
"cty21101","Henderson County, KY",28314
"cty13225","Peach County, GA",28308
"cty12027","DeSoto County, FL",28306
"cty06023","Humboldt County, CA",28302
"cty29101","Johnson County, MO",28292
"cty06007","Butte County, CA",28269
"cty27017","Carlton County, MN",28268
"cty51165","Rockingham County, VA",28263
"cty47089","Jefferson County, TN",28256
"cty53073","Whatcom County, WA",28247
"cty17095","Knox County, IL",28228
"cty22045","Iberia Parish, LA",28206
"cty48049","Brown County, TX",28197
"cty19057","Des Moines County, IA",28191
"cty13299","Ware County, GA",28174
"cty39003","Allen County, OH",28165
"cty08077","Mesa County, CO",28160
"cty48471","Walker County, TX",28157
"cty42021","Cambria County, PA",28156
"cty26069","Iosco County, MI",28153
"cty06015","Del Norte County, CA",28149
"cty48069","Castro County, TX",28143
"cty19115","Louisa County, IA",28136
"cty19087","Henry County, IA",28133
"cty49049","Utah County, UT",28125
"cty16057","Latah County, ID",28112
"cty27061","Itasca County, MN",28101
"cty27007","Beltrami County, MN",28097
"cty31119","Madison County, NE",28092
"cty37087","Haywood County, NC",28085
"cty53071","Walla Walla County, WA",28075
"cty37109","Lincoln County, NC",28052
"cty28035","Forrest County, MS",28052
"cty17115","Macon County, IL",28051
"cty12055","Highlands County, FL",28036
"cty26117","Montcalm County, MI",28034
"cty40019","Carter County, OK",28026
"cty48141","El Paso County, TX",28025
"cty46081","Lawrence County, SD",28021
"cty41017","Deschutes County, OR",28014
"cty45047","Greenwood County, SC",28011
"cty12017","Citrus County, FL",28000
"cty51033","Caroline County, VA",27998
"cty47125","Montgomery County, TN",27994
"cty13247","Rockdale County, GA",27982
"cty48423","Smith County, TX",27966
"cty06115","Yuba County, CA",27963
"cty12053","Hernando County, FL",27956
"cty30093","Silver Bow County, MT",27944
"cty26015","Barry County, MI",27940
"cty26159","Van Buren County, MI",27921
"cty37031","Carteret County, NC",27896
"cty29099","Jefferson County, MO",27880
"cty30029","Flathead County, MT",27879
"cty45075","Orangeburg County, SC",27863
"cty39007","Ashtabula County, OH",27854
"cty37021","Buncombe County, NC",27853
"cty12089","Nassau County, FL",27853
"cty47189","Wilson County, TN",27841
"cty04021","Pinal County, AZ",27832
"cty48273","Kleberg County, TX",27832
"cty37023","Burke County, NC",27809
"cty27105","Nobles County, MN",27793
"cty08075","Logan County, CO",27791
"cty31141","Platte County, NE",27782
"cty12127","Volusia County, FL",27766
"cty51630","Fredericksburg city, VA",27741
"cty47003","Bedford County, TN",27740
"cty20061","Geary County, KS",27732
"cty05085","Lonoke County, AR",27728
"cty29071","Franklin County, MO",27727
"cty06019","Fresno County, CA",27726
"cty48375","Potter County, TX",27722
"cty36033","Franklin County, NY",27716
"cty04003","Cochise County, AZ",27707
"cty48109","Culberson County, TX",27703
"cty04027","Yuma County, AZ",27694
"cty51099","King George County, VA",27692
"cty21113","Jessamine County, KY",27684
"cty18107","Montgomery County, IN",27682
"cty05007","Benton County, AR",27670
"cty18109","Morgan County, IN",27666
"cty13279","Toombs County, GA",27653
"cty48479","Webb County, TX",27639
"cty37037","Chatham County, NC",27624
"cty37155","Robeson County, NC",27603
"cty48463","Uvalde County, TX",27597
"cty06005","Amador County, CA",27590
"cty19111","Lee County, IA",27583
"cty55127","Walworth County, WI",27570
"cty46103","Pennington County, SD",27561
"cty28047","Harrison County, MS",27559
"cty06039","Madera County, CA",27555
"cty26057","Gratiot County, MI",27550
"cty31157","Scotts Bluff County, NE",27537
"cty04005","Coconino County, AZ",27533
"cty38067","Pembina County, ND",27520
"cty37125","Moore County, NC",27491
"cty20035","Cowley County, KS",27477
"cty48363","Palo Pinto County, TX",27468
"cty13215","Muscogee County, GA",27460
"cty55013","Burnett County, WI",27452
"cty37133","Onslow County, NC",27434
"cty48231","Hunt County, TX",27423
"cty30031","Gallatin County, MT",27396
"cty35053","Socorro County, NM",27375
"cty29109","Lawrence County, MO",27365
"cty48145","Falls County, TX",27360
"cty05149","Yell County, AR",27348
"cty26157","Tuscola County, MI",27335
"cty56001","Albany County, WY",27313
"cty48019","Bandera County, TX",27310
"cty48427","Starr County, TX",27299
"cty16031","Cassia County, ID",27289
"cty35035","Otero County, NM",27266
"cty36013","Chautauqua County, NY",27256
"cty28033","DeSoto County, MS",27245
"cty05143","Washington County, AR",27235
"cty39087","Lawrence County, OH",27235
"cty47009","Blount County, TN",27211
"cty40065","Jackson County, OK",27198
"cty04019","Pima County, AZ",27191
"cty20041","Dickinson County, KS",27186
"cty27157","Wabasha County, MN",27177
"cty56005","Campbell County, WY",27176
"cty47141","Putnam County, TN",27164
"cty13313","Whitfield County, GA",27160
"cty02122","Kenai Peninsula Borough, AK",27149
"cty53007","Chelan County, WA",27148
"cty51145","Powhatan County, VA",27137
"cty55081","Monroe County, WI",27107
"cty27119","Polk County, MN",27104
"cty53031","Jefferson County, WA",27073
"cty39027","Clinton County, OH",27058
"cty13139","Hall County, GA",27056
"cty37051","Cumberland County, NC",27053
"cty40131","Rogers County, OK",27052
"cty13127","Glynn County, GA",27032
"cty26121","Muskegon County, MI",27010
"cty41027","Hood River County, OR",26976
"cty24019","Dorchester County, MD",26970
"cty39145","Scioto County, OH",26954
"cty37191","Wayne County, NC",26910
"cty48001","Anderson County, TX",26889
"cty06103","Tehama County, CA",26886
"cty48281","Lampasas County, TX",26868
"cty06021","Glenn County, CA",26865
"cty40115","Ottawa County, OK",26858
"cty48015","Austin County, TX",26857
"cty48017","Bailey County, TX",26836
"cty20209","Wyandotte County, KS",26831
"cty28123","Scott County, MS",26827
"cty48043","Brewster County, TX",26805
"cty47119","Maury County, TN",26799
"cty18033","DeKalb County, IN",26799
"cty48449","Titus County, TX",26797
"cty12019","Clay County, FL",26793
"cty48347","Nacogdoches County, TX",26788
"cty55053","Jackson County, WI",26752
"cty35041","Roosevelt County, NM",26742
"cty28075","Lauderdale County, MS",26739
"cty48459","Upshur County, TX",26726
"cty13179","Liberty County, GA",26722
"cty36095","Schoharie County, NY",26695
"cty48181","Grayson County, TX",26688
"cty13039","Camden County, GA",26674
"cty41045","Malheur County, OR",26671
"cty18085","Kosciusko County, IN",26662
"cty31079","Hall County, NE",26634
"cty48021","Bastrop County, TX",26600
"cty26123","Newaygo County, MI",26590
"cty48325","Medina County, TX",26585
"cty13053","Chattahoochee County, GA",26579
"cty37101","Johnston County, NC",26575
"cty48097","Cooke County, TX",26575
"cty12083","Marion County, FL",26530
"cty41033","Josephine County, OR",26526
"cty22117","Washington Parish, LA",26520
"cty21035","Calloway County, KY",26515
"cty18061","Harrison County, IN",26504
"cty12093","Okeechobee County, FL",26490
"cty17199","Williamson County, IL",26463
"cty27059","Isanti County, MN",26451
"cty19139","Muscatine County, IA",26445
"cty56041","Uinta County, WY",26428
"cty20149","Pottawatomie County, KS",26426
"cty16027","Canyon County, ID",26409
"cty17007","Boone County, IL",26399
"cty17017","Cass County, IL",26394
"cty30013","Cascade County, MT",26391
"cty16019","Bonneville County, ID",26381
"cty51800","Suffolk city, VA",26359
"cty19125","Marion County, IA",26333
"cty20169","Saline County, KS",26313
"cty20067","Grant County, KS",26284
"cty18053","Grant County, IN",26267
"cty12005","Bay County, FL",26236
"cty48353","Nolan County, TX",26221
"cty48089","Colorado County, TX",26214
"cty12051","Hendry County, FL",26214
"cty12097","Osceola County, FL",26188
"cty51790","Staunton city, VA",26184
"cty39021","Champaign County, OH",26149
"cty36117","Wayne County, NY",26127
"cty05033","Crawford County, AR",26090
"cty50017","Orange County, VT",26063
"cty16043","Fremont County, ID",26049
"cty42097","Northumberland County, PA",26049
"cty21037","Campbell County, KY",26048
"cty55019","Clark County, WI",26041
"cty45051","Horry County, SC",26019
"cty27099","Mower County, MN",25988
"cty19155","Pottawattamie County, IA",25974
"cty35013","Do±íáüna County, NM",25948
"cty19179","Wapello County, IA",25929
"cty06025","Imperial County, CA",25916
"cty48505","Zapata County, TX",25900
"cty53027","Grays Harbor County, WA",25895
"cty48265","Kerr County, TX",25881
"cty27025","Chisago County, MN",25870
"cty26087","Lapeer County, MI",25862
"cty04023","Santa Cruz County, AZ",25861
"cty20037","Crawford County, KS",25852
"cty18177","Wayne County, IN",25850
"cty01049","DeKalb County, AL",25849
"cty13217","Newton County, GA",25840
"cty55049","Iowa County, WI",25819
"cty26091","Lenawee County, MI",25806
"cty06109","Tuolumne County, CA",25775
"cty06011","Colusa County, CA",25762
"cty27033","Cottonwood County, MN",25752
"cty37105","Lee County, NC",25683
"cty48253","Jones County, TX",25652
"cty41059","Umatilla County, OR",25593
"cty29037","Cass County, MO",25584
"cty51660","Harrisonburg city, VA",25578
"cty51770","Roanoke city, VA",25556
"cty12039","Gadsden County, FL",25526
"cty26063","Huron County, MI",25519
"cty26055","Grand Traverse County, MI",25506
"cty42127","Wayne County, PA",25484
"cty39129","Pickaway County, OH",25447
"cty18071","Jackson County, IN",25420
"cty26143","Roscommon County, MI",25399
"cty12121","Suwannee County, FL",25395
"cty21047","Christian County, KY",25388
"cty28109","Pearl River County, MS",25386
"cty29105","Laclede County, MO",25371
"cty24001","Allegany County, MD",25311
"cty05045","Faulkner County, AR",25274
"cty21163","Meade County, KY",25234
"cty13115","Floyd County, GA",25214
"cty31053","Dodge County, NE",25190
"cty26005","Allegan County, MI",25136
"cty16005","Bannock County, ID",25128
"cty55023","Crawford County, WI",25115
"cty22097","St. Landry Parish, LA",25077
"cty51191","Washington County, VA",25074
"cty48507","Zavala County, TX",25068
"cty01051","Elmore County, AL",25057
"cty18183","Whitley County, IN",25050
"cty45055","Kershaw County, SC",25032
"cty01015","Calhoun County, AL",24984
"cty41053","Polk County, OR",24981
"cty16053","Jerome County, ID",24981
"cty40101","Muskogee County, OK",24935
"cty23029","Washington County, ME",24901
"cty48143","Erath County, TX",24899
"cty08045","Garfield County, CO",24875
"cty37035","Catawba County, NC",24865
"cty04009","Graham County, AZ",24857
"cty13069","Coffee County, GA",24803
"cty38099","Walsh County, ND",24766
"cty01045","Dale County, AL",24730
"cty26033","Chippewa County, MI",24716
"cty48153","Floyd County, TX",24705
"cty20079","Harvey County, KS",24704
"cty13277","Tift County, GA",24653
"cty40121","Pittsburg County, OK",24641
"cty26127","Oceana County, MI",24640
"cty42051","Fayette County, PA",24622
"cty22095","St. John the Baptist Parish, LA",24589
"cty48115","Dawson County, TX",24587
"cty23009","Hancock County, ME",24582
"cty48025","Bee County, TX",24546
"cty06045","Mendocino County, CA",24537
"cty35043","Sandoval County, NM",24511
"cty40021","Cherokee County, OK",24498
"cty39097","Madison County, OH",24484
"cty18103","Miami County, IN",24480
"cty51143","Pittsylvania County, VA",24480
"cty20111","Lyon County, KS",24475
"cty28081","Lee County, MS",24457
"cty53045","Mason County, WA",24313
"cty41009","Columbia County, OR",24312
"cty37161","Rutherford County, NC",24312
"cty37013","Beaufort County, NC",24286
"cty21227","Warren County, KY",24178
"cty05031","Craighead County, AR",24124
"cty21107","Hopkins County, KY",24096
"cty22069","Natchitoches Parish, LA",24064
"cty48349","Navarro County, TX",24008
"cty51590","Danville city, VA",24008
"cty37159","Rowan County, NC",23942
"cty26047","Emmet County, MI",23925
"cty08087","Morgan County, CO",23898
"cty12063","Jackson County, FL",23882
"cty48189","Hale County, TX",23849
"cty04015","Mohave County, AZ",23839
"cty51053","Dinwiddie County, VA",23835
"cty36073","Orleans County, NY",23822
"cty29159","Pettis County, MO",23809
"cty48165","Gaines County, TX",23801
"cty13071","Colquitt County, GA",23800
"cty13223","Paulding County, GA",23777
"cty01113","Russell County, AL",23728
"cty17049","Effingham County, IL",23727
"cty22001","Acadia Parish, LA",23724
"cty27015","Brown County, MN",23705
"cty55057","Juneau County, WI",23666
"cty48489","Willacy County, TX",23612
"cty37057","Davidson County, NC",23593
"cty50005","Caledonia County, VT",23568
"cty13295","Walker County, GA",23566
"cty41065","Wasco County, OR",23539
"cty48217","Hill County, TX",23507
"cty16055","Kootenai County, ID",23485
"cty48079","Cochran County, TX",23463
"cty40015","Caddo County, OK",23396
"cty55083","Oconto County, WI",23332
"cty40081","Lincoln County, OK",23288
"cty48071","Chambers County, TX",23146
"cty48279","Lamb County, TX",23123
"cty29215","Texas County, MO",23080
"cty31151","Saline County, NE",23051
"cty12049","Hardee County, FL",23003
"cty08089","Otero County, CO",22964
"cty48429","Stephens County, TX",22960
"cty40113","Osage County, OK",22932
"cty48195","Hansford County, TX",22892
"cty39077","Huron County, OH",22793
"cty18181","White County, IN",22762
"cty39149","Shelby County, OH",22746
"cty51065","Fluvanna County, VA",22739
"cty46093","Meade County, SD",22692
"cty35061","Valencia County, NM",22679
"cty01095","Marshall County, AL",22677
"cty48229","Hudspeth County, TX",22664
"cty26035","Clare County, MI",22655
"cty27115","Pine County, MN",22527
"cty48171","Gillespie County, TX",22506
"cty28087","Lowndes County, MS",22456
"cty47063","Hamblen County, TN",22338
"cty48203","Harrison County, TX",22044
"cty56029","Park County, WY",22036
"cty08105","Rio Grande County, CO",22029
"cty13029","Bryan County, GA",21925
"cty55005","Barron County, WI",21899
"cty49039","Sanpete County, UT",21859
"cty26009","Antrim County, MI",21816
"cty13285","Troup County, GA",21747
"cty12133","Washington County, FL",21717
"cty48073","Cherokee County, TX",21488
"cty39081","Jefferson County, OH",21474
"cty39159","Union County, OH",21442
"cty39051","Fulton County, OH",21410
"cty51730","Petersburg city, VA",21363
"cty31047","Dawson County, NE",21108
"cty45073","Oconee County, SC",20704
"cty37123","Montgomery County, NC",20686
"cty40049","Garvin County, OK",20673
"cty33019","Sullivan County, NH",20670
"cty13137","Habersham County, GA",20627
"cty31177","Washington County, NE",20586
"cty12131","Walton County, FL",20581
"cty47019","Carter County, TN",20574
"cty36123","Yates County, NY",20513
"cty16065","Madison County, ID",20252
"cty51830","Williamsburg city, VA",20070
"cty35029","Luna County, NM",19889
"cty01043","Cullman County, AL",19644
"cty37107","Lenoir County, NC",19547
"cty05057","Hempstead County, AR",19483
"cty12107","Putnam County, FL",19465
"cty46083","Lincoln County, SD",19377
"cty21019","Boyd County, KY",19186
"cty48207","Haskell County, TX",19178
"cty29027","Callaway County, MO",19052
"cty40079","Le Flore County, OK",18952
"cty48035","Bosque County, TX",18529
"cty26041","Delta County, MI",18527
"cty13233","Polk County, GA",18440
"cty26129","Ogemaw County, MI",18435
"cty29213","Taney County, MO",18359
"cty23013","Knox County, ME",18241
"cty37053","Currituck County, NC",18183
"cty31025","Cass County, NE",18144
"cty40041","Delaware County, OK",18046
"cty13275","Thomas County, GA",17849
"cty37127","Nash County, NC",17725
"cty39071","Highland County, OH",17703
"cty40013","Bryan County, OK",16791
"cty40107","Okfuskee County, OK",14965
"cty45021","Cherokee County, SC",14202
"cty49047","Uintah County, UT",14135
"cty40097","Mayes County, OK",12712
"cty46035","Davison County, SD",
"cty35055","Taos County, NM",
"cty38071","Ramsey County, ND",
"cty46071","Jackson County, SD",
"cty46137","Ziebach County, SD",
"cty46129","Walworth County, SD",
"cty27029","Clearwater County, MN",
"cty46031","Corson County, SD",
"cty46007","Bennett County, SD",
"cty02070","Dillingham Census Area, AK",
"cty49013","Duchesne County, UT",
"cty30035","Glacier County, MT",
"cty46123","Tripp County, SD",
"cty02158","Kusilvak Census Area, AK",
"cty46065","Hughes County, SD",
"cty28079","Leake County, MS",
"cty30073","Pondera County, MT",
"cty31107","Knox County, NE",
"cty40011","Blaine County, OK",
"cty38005","Benson County, ND",
"cty38059","Morton County, ND",
"cty30005","Blaine County, MT",
"cty30085","Roosevelt County, MT",
"cty46109","Roberts County, SD",
"cty29119","McDonald County, MO",
