"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty19059","Dickinson County, IA",37012
"cty27165","Watonwan County, MN",37011
"cty46073","Jerauld County, SD",36995
"cty19017","Bremer County, IA",36994
"cty27167","Wilkin County, MN",36988
"cty25019","Nantucket County, MA",36968
"cty27079","Le Sueur County, MN",36963
"cty55109","St. Croix County, WI",36957
"cty46097","Miner County, SD",36891
"cty31009","Blaine County, NE",36883
"cty27155","Traverse County, MN",36861
"cty38099","Walsh County, ND",36854
"cty34021","Mercer County, NJ",36841
"cty30043","Jefferson County, MT",36840
"cty46047","Fall River County, SD",36809
"cty27011","Big Stone County, MN",36765
"cty38021","Dickey County, ND",36763
"cty27123","Ramsey County, MN",36758
"cty56039","Teton County, WY",36756
"cty27081","Lincoln County, MN",36751
"cty19037","Chickasaw County, IA",36737
"cty17133","Monroe County, IL",36733
"cty06075","San Francisco County, CA",36731
"cty19015","Boone County, IA",36716
"cty31117","McPherson County, NE",36680
"cty46051","Grant County, SD",36679
"cty38093","Stutsman County, ND",36679
"cty46067","Hutchinson County, SD",36677
"cty09009","New Haven County, CT",36669
"cty27141","Sherburne County, MN",36660
"cty27157","Wabasha County, MN",36650
"cty48071","Chambers County, TX",36645
"cty27121","Pope County, MN",36644
"cty06051","Mono County, CA",36643
"cty19147","Palo Alto County, IA",36641
"cty51510","Alexandria city, VA",36626
"cty30055","McCone County, MT",36618
"cty48081","Coke County, TX",36613
"cty19167","Sioux County, IA",36606
"cty27027","Clay County, MN",36596
"cty27045","Fillmore County, MN",36585
"cty27083","Lyon County, MN",36573
"cty06085","Santa Clara County, CA",36572
"cty20179","Sheridan County, KS",36568
"cty27107","Norman County, MN",36563
"cty27109","Olmsted County, MN",36562
"cty19165","Shelby County, IA",36554
"cty27091","Martin County, MN",36531
"cty44001","Bristol County, RI",36525
"cty27067","Kandiyohi County, MN",36524
"cty27039","Dodge County, MN",36509
"cty41069","Wheeler County, OR",36509
"cty18057","Hamilton County, IN",36476
"cty31141","Platte County, NE",36470
"cty46079","Lake County, SD",36461
"cty34015","Gloucester County, NJ",36431
"cty19021","Buena Vista County, IA",36414
"cty27143","Sibley County, MN",36412
"cty42077","Lehigh County, PA",36408
"cty36027","Dutchess County, NY",36406
"cty06013","Contra Costa County, CA",36404
"cty42045","Delaware County, PA",36400
"cty48011","Armstrong County, TX",36399
"cty19169","Story County, IA",36397
"cty19055","Delaware County, IA",36385
"cty44003","Kent County, RI",36372
"cty31003","Antelope County, NE",36372
"cty38101","Ward County, ND",36366
"cty19149","Plymouth County, IA",36365
"cty24009","Calvert County, MD",36358
"cty55061","Kewaunee County, WI",36347
"cty31185","York County, NE",36330
"cty55025","Dane County, WI",36318
"cty48383","Reagan County, TX",36312
"cty51683","Manassas city, VA",36294
"cty48447","Throckmorton County, TX",36289
"cty20119","Meade County, KS",36281
