"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty53075","Whitman County, WA",33082
"cty36041","Hamilton County, NY",33076
"cty24033","Prince George's County, MD",33074
"cty30017","Custer County, MT",33067
"cty08017","Cheyenne County, CO",33067
"cty37183","Wake County, NC",33062
"cty08075","Logan County, CO",33062
"cty56029","Park County, WY",33062
"cty51830","Williamsburg city, VA",33044
"cty31171","Thomas County, NE",33042
"cty55127","Walworth County, WI",33037
"cty17177","Stephenson County, IL",33035
"cty19051","Davis County, IA",33025
"cty19187","Webster County, IA",33025
"cty33013","Merrimack County, NH",33024
"cty40151","Woods County, OK",33021
"cty42071","Lancaster County, PA",33018
"cty27001","Aitkin County, MN",33013
"cty02261","Valdez-Cordova Census Area, AK",33009
"cty27005","Becker County, MN",33003
"cty54073","Pleasants County, WV",32999
"cty26099","Macomb County, MI",32995
"cty72127","San Juan Municipio, PR",32995
"cty50013","Grand Isle County, VT",32992
"cty48381","Randall County, TX",32988
"cty08081","Moffat County, CO",32976
"cty26071","Iron County, MI",32973
"cty19081","Hancock County, IA",32953
"cty48091","Comal County, TX",32949
"cty18157","Tippecanoe County, IN",32947
"cty21037","Campbell County, KY",32945
"cty39147","Seneca County, OH",32939
"cty30015","Chouteau County, MT",32939
"cty27029","Clearwater County, MN",32936
"cty19145","Page County, IA",32934
"cty42097","Northumberland County, PA",32915
"cty19197","Wright County, IA",32911
"cty51043","Clarke County, VA",32894
"cty17157","Randolph County, IL",32892
"cty48017","Bailey County, TX",32891
"cty48077","Clay County, TX",32873
"cty31161","Sheridan County, NE",32866
"cty56045","Weston County, WY",32864
"cty25003","Berkshire County, MA",32862
"cty56041","Uinta County, WY",32853
"cty55085","Oneida County, WI",32850
"cty17019","Champaign County, IL",32847
"cty19057","Des Moines County, IA",32845
"cty26063","Huron County, MI",32820
"cty18051","Gibson County, IN",32819
"cty08095","Phillips County, CO",32806
"cty30049","Lewis and Clark County, MT",32797
"cty18137","Ripley County, IN",32794
"cty31085","Hayes County, NE",32790
"cty48371","Pecos County, TX",32785
"cty27065","Kanabec County, MN",32781
"cty02100","Haines Borough, AK",32777
"cty17139","Moultrie County, IL",32776
"cty17099","LaSalle County, IL",32770
"cty17175","Stark County, IL",32763
"cty36051","Livingston County, NY",32762
"cty48287","Lee County, TX",32747
"cty18029","Dearborn County, IN",32744
"cty17167","Sangamon County, IL",32736
"cty48161","Freestone County, TX",32734
"cty26089","Leelanau County, MI",32731
"cty42103","Pike County, PA",32731
"cty29047","Clay County, MO",32727
"cty50011","Franklin County, VT",32726
"cty25011","Franklin County, MA",32721
"cty55005","Barron County, WI",32719
"cty55031","Douglas County, WI",32717
"cty42037","Columbia County, PA",32717
"cty36007","Broome County, NY",32714
"cty17187","Warren County, IL",32712
"cty55123","Vernon County, WI",32709
"cty22059","LaSalle Parish, LA",32706
"cty18073","Jasper County, IN",32704
"cty18059","Hancock County, IN",32702
"cty08063","Kit Carson County, CO",32700
"cty02240","Southeast Fairbanks Census Area, AK",32688
"cty51087","Henrico County, VA",32686
"cty39061","Hamilton County, OH",32683
"cty50001","Addison County, VT",32682
"cty36019","Clinton County, NY",32677
"cty22007","Assumption Parish, LA",32675
"cty42043","Dauphin County, PA",32666
"cty21015","Boone County, KY",32665
"cty26141","Presque Isle County, MI",32658
"cty42007","Beaver County, PA",32657
"cty41005","Clackamas County, OR",32651
"cty27075","Lake County, MN",32650
"cty20043","Doniphan County, KS",32650
"cty26109","Menominee County, MI",32642
"cty48167","Galveston County, TX",32642
"cty18173","Warrick County, IN",32642
"cty31047","Dawson County, NE",32641
"cty31105","Kimball County, NE",32630
"cty19111","Lee County, IA",32619
"cty33009","Grafton County, NH",32616
"cty17195","Whiteside County, IL",32611
"cty20005","Atchison County, KS",32606
"cty17105","Livingston County, IL",32591
"cty48135","Ector County, TX",32590
"cty42119","Union County, PA",32588
"cty51061","Fauquier County, VA",32586
"cty22095","St. John the Baptist Parish, LA",32583
"cty13117","Forsyth County, GA",32581
"cty20201","Washington County, KS",32581
"cty31101","Keith County, NE",32576
"cty31093","Howard County, NE",32575
"cty48043","Brewster County, TX",32569
"cty36063","Niagara County, NY",32565
"cty19101","Jefferson County, IA",32563
"cty19039","Clarke County, IA",32555
"cty39063","Hancock County, OH",32552
"cty23031","York County, ME",32549
"cty17113","McLean County, IL",32549
"cty08123","Weld County, CO",32547
"cty49017","Garfield County, UT",32527
"cty55115","Shawano County, WI",32505
"cty34017","Hudson County, NJ",32500
"cty51036","Charles City County, VA",32498
"cty39069","Henry County, OH",32497
"cty08117","Summit County, CO",32492
"cty06073","San Diego County, CA",32490
"cty42025","Carbon County, PA",32490
"cty33003","Carroll County, NH",32489
"cty15007","Kauai County, HI",32476
"cty48377","Presidio County, TX",32471
"cty39051","Fulton County, OH",32471
"cty55023","Crawford County, WI",32460
"cty39111","Monroe County, OH",32450
"cty20199","Wallace County, KS",32446
"cty56019","Johnson County, WY",32442
"cty19155","Pottawattamie County, IA",32440
"cty31181","Webster County, NE",32440
"cty48201","Harris County, TX",32430
"cty26103","Marquette County, MI",32429
"cty31165","Sioux County, NE",32428
"cty01117","Shelby County, AL",32423
"cty20085","Jackson County, KS",32420
"cty48089","Colorado County, TX",32420
"cty20157","Republic County, KS",32416
"cty34001","Atlantic County, NJ",32414
"cty06035","Lassen County, CA",32407
"cty08067","La Plata County, CO",32399
"cty48461","Upton County, TX",32398
"cty55033","Dunn County, WI",32395
"cty30111","Yellowstone County, MT",32390
"cty20169","Saline County, KS",32379
"cty56043","Washakie County, WY",32369
"cty53005","Benton County, WA",32364
"cty36053","Madison County, NY",32352
"cty55083","Oconto County, WI",32344
"cty08003","Alamosa County, CO",32342
"cty37135","Orange County, NC",32334
"cty33005","Cheshire County, NH",32332
"cty06095","Solano County, CA",32325
"cty06079","San Luis Obispo County, CA",32320
"cty31147","Richardson County, NE",32320
"cty53023","Garfield County, WA",32310
"cty48199","Hardin County, TX",32306
"cty20103","Leavenworth County, KS",32297
"cty20057","Ford County, KS",32295
"cty49055","Wayne County, UT",32291
"cty18127","Porter County, IN",32290
"cty36037","Genesee County, NY",32286
"cty19177","Van Buren County, IA",32284
"cty51660","Harrisonburg city, VA",32282
"cty36011","Cayuga County, NY",32273
"cty55135","Waupaca County, WI",32271
"cty40073","Kingfisher County, OK",32258
"cty55107","Rusk County, WI",32256
"cty42073","Lawrence County, PA",32245
"cty53007","Chelan County, WA",32236
"cty48211","Hemphill County, TX",32232
"cty48453","Travis County, TX",32231
"cty16061","Lewis County, ID",32226
"cty40043","Dewey County, OK",32219
"cty17041","Douglas County, IL",32216
"cty19087","Henry County, IA",32212
"cty29037","Cass County, MO",32207
"cty26061","Houghton County, MI",32207
"cty48229","Hudspeth County, TX",32205
"cty39035","Cuyahoga County, OH",32203
"cty20055","Finney County, KS",32196
"cty12021","Collier County, FL",32193
"cty36057","Montgomery County, NY",32193
"cty31145","Red Willow County, NE",32191
"cty54069","Ohio County, WV",32186
"cty17147","Piatt County, IL",32172
"cty55059","Kenosha County, WI",32168
"cty46109","Roberts County, SD",32164
"cty17179","Tazewell County, IL",32158
"cty31133","Pawnee County, NE",32151
"cty31017","Brown County, NE",32146
"cty48239","Jackson County, TX",32140
"cty30023","Deer Lodge County, MT",32134
"cty39159","Union County, OH",32133
"cty06053","Monterey County, CA",32131
"cty06083","Santa Barbara County, CA",32130
"cty39143","Sandusky County, OH",32130
"cty17035","Cumberland County, IL",32129
"cty46103","Pennington County, SD",32124
"cty16057","Latah County, ID",32121
"cty12085","Martin County, FL",32119
"cty55007","Bayfield County, WI",32112
"cty20203","Wichita County, KS",32112
"cty30001","Beaverhead County, MT",32104
"cty39123","Ottawa County, OH",32094
"cty39045","Fairfield County, OH",32091
"cty55075","Marinette County, WI",32086
"cty31061","Franklin County, NE",32080
"cty51570","Colonial Heights city, VA",32079
"cty48047","Brooks County, TX",32071
"cty27035","Crow Wing County, MN",32071
"cty48165","Gaines County, TX",32057
"cty20151","Pratt County, KS",32051
"cty51069","Frederick County, VA",32050
"cty32005","Douglas County, NV",32045
"cty40153","Woodward County, OK",32031
"cty22051","Jefferson Parish, LA",32020
"cty20121","Miami County, KS",32007
"cty48473","Waller County, TX",31994
"cty42015","Bradford County, PA",31991
"cty51145","Powhatan County, VA",31988
"cty54013","Calhoun County, WV",31980
"cty32510","Carson City, NV",31964
"cty53061","Snohomish County, WA",31962
"cty02220","Sitka City and Borough, AK",31959
"cty48341","Moore County, TX",31951
"cty17161","Rock Island County, IL",31949
"cty20069","Gray County, KS",31949
"cty42027","Centre County, PA",31948
"cty27087","Mahnomen County, MN",31946
"cty20137","Norton County, KS",31946
"cty48331","Milam County, TX",31946
"cty32031","Washoe County, NV",31945
"cty29129","Mercer County, MO",31941
"cty42085","Mercer County, PA",31934
"cty19139","Muscatine County, IA",31916
"cty29147","Nodaway County, MO",31910
"cty26115","Monroe County, MI",31903
"cty02170","Matanuska-Susitna Borough, AK",31900
"cty26077","Kalamazoo County, MI",31896
"cty49051","Wasatch County, UT",31896
"cty48221","Hood County, TX",31886
"cty40003","Alfalfa County, OK",31878
"cty39043","Erie County, OH",31873
"cty20185","Stafford County, KS",31869
"cty26045","Eaton County, MI",31862
"cty36025","Delaware County, NY",31859
"cty12117","Seminole County, FL",31857
"cty55037","Florence County, WI",31856
"cty35015","Eddy County, NM",31846
"cty17015","Carroll County, IL",31844
"cty50025","Windham County, VT",31843
"cty22055","Lafayette Parish, LA",31840
"cty08015","Chaffee County, CO",31839
"cty42089","Monroe County, PA",31824
"cty08045","Garfield County, CO",31822
"cty31157","Scotts Bluff County, NE",31818
"cty17137","Morgan County, IL",31818
"cty22075","Plaquemines Parish, LA",31816
"cty51011","Appomattox County, VA",31814
"cty40093","Major County, OK",31814
"cty42127","Wayne County, PA",31799
"cty36075","Oswego County, NY",31799
"cty41063","Wallowa County, OR",31796
"cty20109","Logan County, KS",31795
"cty17007","Boone County, IL",31786
"cty36043","Herkimer County, NY",31778
"cty51019","Bedford County, VA",31769
"cty37059","Davie County, NC",31758
"cty41037","Lake County, OR",31758
"cty36117","Wayne County, NY",31758
"cty22087","St. Bernard Parish, LA",31755
"cty56003","Big Horn County, WY",31749
"cty29033","Carroll County, MO",31749
"cty26043","Dickinson County, MI",31745
"cty20059","Franklin County, KS",31739
"cty20009","Barton County, KS",31736
"cty49025","Kane County, UT",31733
"cty48469","Victoria County, TX",31732
"cty48175","Goliad County, TX",31699
"cty30031","Gallatin County, MT",31698
"cty42065","Jefferson County, PA",31689
"cty42049","Erie County, PA",31681
"cty39017","Butler County, OH",31679
"cty17079","Jasper County, IL",31677
"cty20175","Seward County, KS",31674
"cty08073","Lincoln County, CO",31667
"cty48125","Dickens County, TX",31665
"cty56007","Carbon County, WY",31664
"cty48227","Howard County, TX",31663
"cty40129","Roger Mills County, OK",31661
"cty55105","Rock County, WI",31648
"cty22109","Terrebonne Parish, LA",31642
"cty48177","Gonzales County, TX",31642
"cty49033","Rich County, UT",31642
"cty15009","Maui County, HI",31638
"cty18011","Boone County, IN",31637
"cty22057","Lafourche Parish, LA",31634
"cty28089","Madison County, MS",31629
"cty13073","Columbia County, GA",31618
"cty20115","Marion County, KS",31618
"cty19179","Wapello County, IA",31616
"cty17115","Macon County, IL",31613
"cty08049","Grand County, CO",31613
"cty17091","Kankakee County, IL",31610
"cty51121","Montgomery County, VA",31607
"cty20087","Jefferson County, KS",31598
"cty24043","Washington County, MD",31579
"cty53057","Skagit County, WA",31578
"cty36073","Orleans County, NY",31574
"cty48185","Grimes County, TX",31572
"cty51159","Richmond County, VA",31568
"cty39125","Paulding County, OH",31567
"cty33007","Coos County, NH",31553
"cty42055","Franklin County, PA",31540
"cty18139","Rush County, IN",31536
"cty48057","Calhoun County, TX",31532
"cty17117","Macoupin County, IL",31531
"cty42099","Perry County, PA",31528
"cty20027","Clay County, KS",31521
"cty51750","Radford city, VA",31518
"cty17023","Clark County, IL",31517
"cty48209","Hays County, TX",31515
"cty20177","Shawnee County, KS",31512
"cty40103","Noble County, OK",31506
"cty20045","Douglas County, KS",31506
"cty55081","Monroe County, WI",31500
"cty46007","Bennett County, SD",31498
"cty55057","Juneau County, WI",31494
"cty51177","Spotsylvania County, VA",31491
"cty51840","Winchester city, VA",31489
"cty41003","Benton County, OR",31488
"cty39157","Tuscarawas County, OH",31487
"cty48093","Comanche County, TX",31483
"cty19183","Washington County, IA",31481
"cty48179","Gray County, TX",31481
"cty17149","Pike County, IL",31475
"cty48365","Panola County, TX",31470
"cty36077","Otsego County, NY",31470
"cty48439","Tarrant County, TX",31469
"cty56021","Laramie County, WY",31452
"cty18113","Noble County, IN",31452
"cty18147","Spencer County, IN",31442
"cty17075","Iroquois County, IL",31441
"cty18043","Floyd County, IN",31438
"cty18081","Johnson County, IN",31436
"cty17109","McDonough County, IL",31434
"cty26055","Grand Traverse County, MI",31427
"cty08065","Lake County, CO",31426
"cty22033","East Baton Rouge Parish, LA",31421
"cty27007","Beltrami County, MN",31419
"cty20041","Dickinson County, KS",31418
"cty48219","Hockley County, TX",31414
"cty17053","Ford County, IL",31409
"cty29151","Osage County, MO",31406
"cty18123","Perry County, IN",31402
"cty39121","Noble County, OH",31402
"cty20013","Brown County, KS",31401
"cty30013","Cascade County, MT",31398
"cty20165","Rush County, KS",31392
"cty26065","Ingham County, MI",31390
"cty06037","Los Angeles County, CA",31387
"cty46105","Perkins County, SD",31377
"cty29087","Holt County, MO",31349
"cty37055","Dare County, NC",31341
"cty20033","Comanche County, KS",31340
"cty26053","Gogebic County, MI",31337
"cty32007","Elko County, NV",31336
"cty04011","Greenlee County, AZ",31336
"cty48111","Dallam County, TX",31333
"cty26081","Kent County, MI",31332
"cty53001","Adams County, WA",31332
"cty16035","Clearwater County, ID",31325
"cty40139","Texas County, OK",31324
"cty12011","Broward County, FL",31323
"cty48337","Montague County, TX",31317
"cty51720","Norton city, VA",31316
"cty39153","Summit County, OH",31312
"cty17001","Adams County, IL",31309
"cty12109","St. Johns County, FL",31305
"cty08009","Baca County, CO",31295
"cty39109","Miami County, OH",31281
"cty20139","Osage County, KS",31274
"cty55137","Waushara County, WI",31270
"cty13057","Cherokee County, GA",31269
"cty53019","Ferry County, WA",31267
"cty51103","Lancaster County, VA",31259
"cty18003","Allen County, IN",31254
"cty31015","Boyd County, NE",31253
"cty48139","Ellis County, TX",31252
"cty48191","Hall County, TX",31252
"cty40067","Jefferson County, OK",31247
"cty21059","Daviess County, KY",31244
"cty22103","St. Tammany Parish, LA",31242
"cty51009","Amherst County, VA",31233
"cty42059","Greene County, PA",31232
"cty48415","Scurry County, TX",31227
"cty48105","Crockett County, TX",31227
"cty51133","Northumberland County, VA",31220
"cty27031","Cook County, MN",31207
"cty48273","Kleberg County, TX",31207
"cty18141","St. Joseph County, IN",31204
"cty17173","Shelby County, IL",31203
"cty41027","Hood River County, OR",31202
"cty39039","Defiance County, OH",31198
"cty22077","Pointe Coupee Parish, LA",31198
"cty17017","Cass County, IL",31195
"cty24015","Cecil County, MD",31191
"cty42083","McKean County, PA",31190
"cty39161","Van Wert County, OH",31190
"cty42051","Fayette County, PA",31184
"cty56013","Fremont County, WY",31181
"cty48465","Val Verde County, TX",31180
"cty24047","Worcester County, MD",31177
"cty30009","Carbon County, MT",31174
"cty29045","Clark County, MO",31174
"cty31173","Thurston County, NE",31173
"cty21117","Kenton County, KY",31173
"cty39175","Wyandot County, OH",31172
"cty51810","Virginia Beach city, VA",31169
"cty48481","Wharton County, TX",31144
"cty55051","Iron County, WI",31142
"cty16037","Custer County, ID",31137
"cty39081","Jefferson County, OH",31136
"cty40017","Canadian County, OK",31134
"cty48409","San Patricio County, TX",31130
"cty26073","Isabella County, MI",31129
"cty36035","Fulton County, NY",31127
"cty02275","Wrangell City and Borough, AK",31122
"cty30063","Missoula County, MT",31115
"cty53053","Pierce County, WA",31115
"cty36095","Schoharie County, NY",31112
"cty29031","Cape Girardeau County, MO",31110
"cty17125","Mason County, IL",31089
"cty29049","Clinton County, MO",31084
"cty18001","Adams County, IN",31082
"cty01091","Marengo County, AL",31077
"cty48361","Orange County, TX",31070
"cty39013","Belmont County, OH",31070
"cty48403","Sabine County, TX",31066
"cty29113","Lincoln County, MO",31062
"cty17143","Peoria County, IL",31062
"cty18083","Knox County, IN",31054
"cty55067","Langlade County, WI",31052
"cty27071","Koochiching County, MN",31050
"cty21111","Jefferson County, KY",31023
"cty40149","Washita County, OK",31019
"cty31113","Logan County, NE",31015
"cty18085","Kosciusko County, IN",31011
"cty42111","Somerset County, PA",31000
"cty51053","Dinwiddie County, VA",30990
"cty36107","Tioga County, NY",30987
"cty48041","Brazos County, TX",30985
"cty39171","Williams County, OH",30984
"cty29107","Lafayette County, MO",30981
"cty55129","Washburn County, WI",30979
"cty21091","Hancock County, KY",30979
"cty19107","Keokuk County, IA",30971
"cty26155","Shiawassee County, MI",30969
"cty20111","Lyon County, KS",30967
"cty48025","Bee County, TX",30961
"cty48193","Hamilton County, TX",30942
"cty48107","Crosby County, TX",30942
"cty42035","Clinton County, PA",30934
"cty40027","Cleveland County, OK",30933
"cty36009","Cattaraugus County, NY",30931
"cty42067","Juniata County, PA",30931
"cty48013","Atascosa County, TX",30922
"cty30085","Roosevelt County, MT",30916
"cty36099","Seneca County, NY",30913
"cty30065","Musselshell County, MT",30909
"cty22097","St. Landry Parish, LA",30909
"cty48243","Jeff Davis County, TX",30908
"cty06049","Modoc County, CA",30906
"cty19133","Monona County, IA",30903
"cty48503","Young County, TX",30891
"cty17159","Richland County, IL",30887
"cty49035","Salt Lake County, UT",30885
"cty33001","Belknap County, NH",30884
"cty53049","Pacific County, WA",30883
"cty54061","Monongalia County, WV",30882
"cty48367","Parker County, TX",30881
"cty18131","Pulaski County, IN",30881
"cty13121","Fulton County, GA",30877
"cty51057","Essex County, VA",30870
"cty17119","Madison County, IL",30858
"cty48163","Frio County, TX",30847
"cty04013","Maricopa County, AZ",30846
"cty27057","Hubbard County, MN",30846
"cty12099","Palm Beach County, FL",30845
"cty42081","Lycoming County, PA",30844
"cty17163","St. Clair County, IL",30838
"cty48321","Matagorda County, TX",30833
"cty19007","Appanoose County, IA",30824
"cty55079","Milwaukee County, WI",30816
"cty18145","Shelby County, IN",30814
"cty18125","Pike County, IN",30814
"cty18183","Whitley County, IN",30812
"cty40039","Custer County, OK",30810
"cty18163","Vanderburgh County, IN",30810
"cty08121","Washington County, CO",30808
"cty22039","Evangeline Parish, LA",30807
"cty29041","Chariton County, MO",30806
"cty54103","Wetzel County, WV",30805
"cty51093","Isle of Wight County, VA",30804
"cty41009","Columbia County, OR",30801
"cty39067","Harrison County, OH",30801
"cty08007","Archuleta County, CO",30800
"cty26003","Alger County, MI",30799
"cty39099","Mahoning County, OH",30796
"cty36115","Washington County, NY",30795
"cty48289","Leon County, TX",30794
"cty39093","Lorain County, OH",30791
"cty39057","Greene County, OH",30791
"cty26111","Midland County, MI",30789
"cty30073","Pondera County, MT",30788
"cty20023","Cheyenne County, KS",30782
"cty42115","Susquehanna County, PA",30779
"cty48169","Garza County, TX",30777
"cty36101","Steuben County, NY",30775
"cty31083","Harlan County, NE",30770
"cty40047","Garfield County, OK",30761
"cty17021","Christian County, IL",30759
"cty53067","Thurston County, WA",30754
"cty54051","Marshall County, WV",30754
"cty53021","Franklin County, WA",30753
"cty30027","Fergus County, MT",30751
"cty48233","Hutchinson County, TX",30749
"cty27021","Cass County, MN",30746
"cty18091","LaPorte County, IN",30741
"cty20077","Harper County, KS",30740
"cty51111","Lunenburg County, VA",30740
"cty41017","Deschutes County, OR",30738
"cty17047","Edwards County, IL",30723
"cty48355","Nueces County, TX",30722
"cty39003","Allen County, OH",30722
"cty29177","Ray County, MO",30721
"cty17065","Hamilton County, IL",30721
"cty18047","Franklin County, IN",30712
"cty55077","Marquette County, WI",30709
"cty37119","Mecklenburg County, NC",30708
"cty18089","Lake County, IN",30705
"cty39049","Franklin County, OH",30694
"cty17185","Wabash County, IL",30689
"cty41049","Morrow County, OR",30681
"cty21007","Ballard County, KY",30680
"cty51031","Campbell County, VA",30670
"cty54021","Gilmer County, WV",30667
"cty38079","Rolette County, ND",30666
"cty39095","Lucas County, OH",30665
"cty54095","Tyler County, WV",30662
"cty33019","Sullivan County, NH",30661
"cty29135","Moniteau County, MO",30656
"cty55053","Jackson County, WI",30652
"cty39037","Darke County, OH",30651
"cty06067","Sacramento County, CA",30645
"cty08001","Adams County, CO",30644
"cty49011","Davis County, UT",30627
"cty54029","Hancock County, WV",30627
"cty39025","Clermont County, OH",30627
"cty36049","Lewis County, NY",30626
"cty20155","Reno County, KS",30625
"cty48151","Fisher County, TX",30616
"cty17077","Jackson County, IL",30606
"cty17145","Perry County, IL",30605
"cty36023","Cortland County, NY",30593
"cty42105","Potter County, PA",30576
"cty49001","Beaver County, UT",30576
"cty51775","Salem city, VA",30571
"cty48445","Terry County, TX",30567
"cty20207","Woodson County, KS",30561
"cty17201","Winnebago County, IL",30558
"cty20105","Lincoln County, KS",30557
"cty41047","Marion County, OR",30544
"cty36031","Essex County, NY",30544
"cty18039","Elkhart County, IN",30538
"cty39151","Stark County, OH",30538
"cty48061","Cameron County, TX",30537
"cty37179","Union County, NC",30527
"cty48113","Dallas County, TX",30524
"cty19159","Ringgold County, IA",30523
"cty17045","Edgar County, IL",30520
"cty17101","Lawrence County, IL",30516
"cty54009","Brooke County, WV",30513
"cty18099","Marshall County, IN",30511
"cty36015","Chemung County, NY",30497
"cty48123","DeWitt County, TX",30496
"cty41061","Union County, OR",30488
"cty18179","Wells County, IN",30485
"cty08033","Dolores County, CO",30482
"cty53073","Whatcom County, WA",30481
"cty48215","Hidalgo County, TX",30468
"cty06109","Tuolumne County, CA",30467
"cty42033","Clearfield County, PA",30465
"cty20099","Labette County, KS",30463
"cty48501","Yoakum County, TX",30454
"cty48235","Irion County, TX",30454
"cty19123","Mahaska County, IA",30445
"cty22045","Iberia Parish, LA",30444
"cty39169","Wayne County, OH",30439
"cty48497","Wise County, TX",30438
"cty42117","Tioga County, PA",30436
"cty17087","Johnson County, IL",30434
"cty48389","Reeves County, TX",30427
"cty39033","Crawford County, OH",30425
"cty05013","Calhoun County, AR",30423
"cty32027","Pershing County, NV",30421
"cty16065","Madison County, ID",30416
"cty36105","Sullivan County, NY",30413
"cty22023","Cameron Parish, LA",30412
"cty29063","DeKalb County, MO",30410
"cty06005","Amador County, CA",30399
"cty06077","San Joaquin County, CA",30396
"cty46093","Meade County, SD",30394
"cty40051","Grady County, OK",30394
"cty40083","Logan County, OK",30385
"cty31049","Deuel County, NE",30384
"cty26057","Gratiot County, MI",30374
"cty02150","Kodiak Island Borough, AK",30364
"cty48479","Webb County, TX",30363
"cty53059","Skamania County, WA",30357
"cty53035","Kitsap County, WA",30353
"cty08027","Custer County, CO",30353
"cty54093","Tucker County, WV",30346
"cty55103","Richland County, WI",30335
"cty12115","Sarasota County, FL",30333
"cty22063","Livingston Parish, LA",30331
"cty16013","Blaine County, ID",30328
"cty20205","Wilson County, KS",30322
"cty08089","Otero County, CO",30315
"cty48051","Burleson County, TX",30312
"cty17059","Gallatin County, IL",30308
"cty17071","Henderson County, IL",30302
"cty15001","Hawaii County, HI",30302
"cty39133","Portage County, OH",30289
"cty17057","Fulton County, IL",30289
"cty08119","Teller County, CO",30285
"cty41023","Grant County, OR",30284
"cty26151","Sanilac County, MI",30278
"cty23001","Androscoggin County, ME",30276
"cty53063","Spokane County, WA",30272
"cty20015","Butler County, KS",30264
"cty42109","Snyder County, PA",30260
"cty02130","Ketchikan Gateway Borough, AK",30258
"cty55003","Ashland County, WI",30257
"cty48411","San Saba County, TX",30256
"cty39065","Hardin County, OH",30250
"cty18033","DeKalb County, IN",30249
"cty36013","Chautauqua County, NY",30246
"cty48401","Rusk County, TX",30243
"cty24023","Garrett County, MD",30241
"cty41065","Wasco County, OR",30238
"cty02105","Hoonah-Angoon Census Area, AK",30217
"cty17129","Menard County, IL",30213
"cty29019","Boone County, MO",30203
"cty08041","El Paso County, CO",30202
"cty31069","Garden County, NE",30194
"cty48265","Kerr County, TX",30186
"cty18181","White County, IN",30180
"cty16029","Caribou County, ID",30164
"cty17095","Knox County, IL",30156
"cty55041","Forest County, WI",30155
"cty48279","Lamb County, TX",30152
"cty40071","Kay County, OK",30151
"cty22019","Calcasieu Parish, LA",30148
"cty48325","Medina County, TX",30146
"cty50015","Lamoille County, VT",30142
"cty48035","Bosque County, TX",30136
"cty51083","Halifax County, VA",30134
"cty26091","Lenawee County, MI",30129
"cty48245","Jefferson County, TX",30127
"cty08043","Fremont County, CO",30123
"cty54049","Marion County, WV",30122
"cty49031","Piute County, UT",30122
"cty53047","Okanogan County, WA",30121
"cty10001","Kent County, DE",30115
"cty53055","San Juan County, WA",30113
"cty18077","Jefferson County, IN",30113
"cty36089","St. Lawrence County, NY",30109
"cty39091","Logan County, OH",30109
"cty49057","Weber County, UT",30106
"cty47165","Sumner County, TN",30106
"cty30007","Broadwater County, MT",30101
"cty41053","Polk County, OR",30100
"cty48127","Dimmit County, TX",30099
"cty54079","Putnam County, WV",30093
"cty48391","Refugio County, TX",30091
"cty48251","Johnson County, TX",30090
"cty13103","Effingham County, GA",30087
"cty47189","Wilson County, TN",30086
"cty19135","Monroe County, IA",30082
"cty26011","Arenac County, MI",30073
"cty26007","Alpena County, MI",30071
"cty46023","Charles Mix County, SD",30068
"cty22031","De Soto Parish, LA",30065
"cty54037","Jefferson County, WV",30057
"cty42013","Blair County, PA",30054
"cty50005","Caledonia County, VT",30050
"cty42023","Cameron County, PA",30046
"cty51063","Floyd County, VA",30045
"cty20181","Sherman County, KS",30044
"cty26017","Bay County, MI",30042
"cty20191","Sumner County, KS",30039
"cty28055","Issaquena County, MS",30033
"cty49005","Cache County, UT",30032
"cty47127","Moore County, TN",30032
"cty48059","Callahan County, TX",30029
"cty51157","Rappahannock County, VA",30029
"cty41051","Multnomah County, OR",30027
"cty26145","Saginaw County, MI",30025
"cty45013","Beaufort County, SC",30025
"cty42057","Fulton County, PA",30022
"cty32011","Eureka County, NV",30021
"cty42061","Huntingdon County, PA",30010
"cty53011","Clark County, WA",30004
"cty26067","Ionia County, MI",30002
"cty48327","Menard County, TX",30002
"cty51550","Chesapeake city, VA",30000
"cty16031","Cassia County, ID",29997
"cty20129","Morton County, KS",29992
"cty22049","Jackson Parish, LA",29989
"cty36047","Kings County, NY",29988
"cty37053","Currituck County, NC",29988
"cty35049","Santa Fe County, NM",29983
"cty06029","Kern County, CA",29977
"cty08093","Park County, CO",29969
"cty13219","Oconee County, GA",29967
"cty30041","Hill County, MT",29960
"cty06091","Sierra County, CA",29955
"cty22009","Avoyelles Parish, LA",29951
"cty49003","Box Elder County, UT",29951
"cty51630","Fredericksburg city, VA",29951
"cty29071","Franklin County, MO",29940
"cty26157","Tuscola County, MI",29933
"cty28121","Rankin County, MS",29932
"cty54035","Jackson County, WV",29932
"cty17171","Scott County, IL",29930
"cty26041","Delta County, MI",29929
"cty29211","Sullivan County, MO",29927
"cty51165","Rockingham County, VA",29925
"cty40131","Rogers County, OK",29924
"cty18049","Fulton County, IN",29912
"cty53029","Island County, WA",29911
"cty20173","Sedgwick County, KS",29909
"cty45063","Lexington County, SC",29908
"cty51125","Nelson County, VA",29901
"cty29099","Jefferson County, MO",29895
"cty17025","Clay County, IL",29893
"cty48457","Tyler County, TX",29893
"cty26137","Otsego County, MI",29888
"cty39077","Huron County, OH",29888
"cty18071","Jackson County, IN",29888
"cty26147","St. Clair County, MI",29885
"cty48141","El Paso County, TX",29881
"cty30067","Park County, MT",29880
"cty24001","Allegany County, MD",29878
"cty39083","Knox County, OH",29878
"cty26029","Charlevoix County, MI",29876
